player_name,gp,g,a,pim,plus_minus
Chase De Leo (C/LW), 71 , 18 , 38 , 24 , 28 
Seth Jones (D), 61 , 14 , 42 , 33 , 46 
Russell Maxwell (C), 66 , 22 , 33 , 91 , -3 
Cain Franson (LW/C), 60 , 29 , 25 , 44 , -16 
Connor Honey (RW), 57 , 16 , 38 , 58 , -9 
Morgan Rielly (D), 60 , 12 , 42 , 19 , -8 
Jamie Crooks (LW), 69 , 33 , 20 , 26 , -15 
Alessio Bertaggia (LW/RW), 46 , 29 , 24 , 34 , 11 
 Brandon Wheat Kings , 30 , 16 , 18 , 30 , 2 
 Spokane Chiefs , 16 , 13 , 6 , 4 , 9 
Colin Jacobs (C), 66 , 25 , 28 , 98 , -27 
Ben Walker (C/RW), 59 , 19 , 33 , 54 , 18 
Boston Leier (RW/LW), 72 , 18 , 34 , 56 , 3 
Damon Severson (D), 71 , 10 , 42 , 74 , 43 
Steven Hodges (C), 60 , 28 , 23 , 67 , -3 
Joshua Winquist (LW/C), 51 , 24 , 27 , 61 , 7 
Nathan Burns (LW/C), 70 , 20 , 31 , 63 , -3 
 Vancouver Giants , 15 , 6 , 3 , 18 , -4 
 Saskatoon Blades , 55 , 14 , 28 , 45 , 1 
Brendan Rouse (C), 71 , 14 , 37 , 22 , -14 
 Seattle Thunderbirds , 42 , 6 , 25 , 14 , 4 
 Vancouver Giants , 29 , 8 , 12 , 8 , -18 
Reid Gow (D), 64 , 7 , 44 , 80 , 29 
Jaimen Yakubowski (LW), 66 , 32 , 18 , 126 , -6 
Graham Black (C), 68 , 24 , 26 , 33 , 4 
Cole Ully (LW), 62 , 22 , 28 , 37 , 27 
Mike Winther (C), 68 , 22 , 28 , 61 , 15 
Shea Theodore (D), 71 , 19 , 31 , 32 , -24 
Troy Bourke (LW/C), 63 , 15 , 35 , 37 , -30 
Luke Lockhart (RW), 72 , 25 , 24 , 19 , -29 
Alexander Delnov (LW/RW), 69 , 20 , 29 , 33 , -33 
Greg Chase (C/LW), 69 , 17 , 32 , 58 , 11 
Alex Roach (D), 62 , 15 , 34 , 72 , 42 
Reece Scarlett (D), 67 , 9 , 40 , 66 , 14 
Brock Montgomery (RW), 58 , 31 , 17 , 76 , 11 
Landon Oslanski (D), 72 , 17 , 31 , 96 , -22 
Josh Morrissey (D), 70 , 15 , 32 , 91 , 14 
Seth Swenson (RW), 72 , 18 , 28 , 39 , -6 
Luke Philp (C), 66 , 20 , 25 , 24 , 3 
Tim McGauley (C), 66 , 17 , 28 , 6 , -8 
Chandler Stephenson (C/LW), 46 , 14 , 31 , 37 , -1 
Ryan Pulock (D), 61 , 14 , 31 , 22 , -7 
Derrick Pouliot (D), 44 , 9 , 36 , 60 , 35 
Zane Jones (LW/RW), 69 , 21 , 23 , 51 , 15 
Parker Bowles (LW/C), 71 , 21 , 23 , 53 , 4 
Brett Kulak (D), 72 , 12 , 32 , 34 , -34 
Zach Yuen (D), 71 , 9 , 35 , 58 , -1 
Sam McKechnie (RW/C), 72 , 26 , 17 , 44 , -8 
Kale Kessy (LW), 60 , 21 , 22 , 106 , 8 
 Medicine Hat Tigers , 2 , 2 , 0 , 17 , 1 
 Vancouver Giants , 27 , 7 , 9 , 45 , 0 
 Kamloops Blazers , 31 , 12 , 13 , 44 , 7 
Logan McVeigh (C), 73 , 19 , 24 , 51 , 2 
 Prince Albert Raiders , 38 , 9 , 14 , 23 , 3 
 Medicine Hat Tigers , 35 , 10 , 10 , 28 , -1 
Jayce Hawryluk (C/RW), 61 , 18 , 25 , 46 , -18 
Dyson Stevenson (W/C), 62 , 16 , 27 , 120 , -9 
Logan Nelson (C), 49 , 14 , 29 , 41 , -7 
Matt Pufahl (D), 69 , 6 , 37 , 21 , 11 
Justin Kirsch (LW), 65 , 23 , 19 , 23 , -19 
Cody Fowlie (RW), 66 , 17 , 25 , 50 , 33 
 Everett Silvertips , 7 , 0 , 2 , 12 , -2 
 Kelowna Rockets , 59 , 17 , 23 , 38 , 35 
Matt Dumba (D), 62 , 16 , 26 , 80 , 10 
Austin Carroll (RW), 67 , 15 , 27 , 152 , -18 
Taylor Peters (C/LW), 68 , 15 , 27 , 61 , 27 
Brady Ramsay (RW/C), 65 , 14 , 28 , 135 , -7 
Dylan Busenius (D), 71 , 8 , 34 , 45 , -32 
 Medicine Hat Tigers , 37 , 6 , 20 , 27 , -22 
 Prince Albert Raiders , 34 , 2 , 14 , 18 , -10 
Cody Corbett (D), 71 , 7 , 35 , 48 , 38 
Collin Valcourt (LW), 73 , 24 , 17 , 46 , 75 
 Saskatoon Blades , 32 , 11 , 7 , 45 , 5 
 Spokane Chiefs , 41 , 13 , 10 , 1 , 70 
Colby Cave (C), 72 , 21 , 20 , 39 , 1 
Jesse Mychan (LW), 60 , 19 , 22 , 111 , -4 
Blake Gal (RW), 57 , 17 , 24 , 31 , 26 
Victor Rask (C), 37 , 14 , 27 , 16 , 14 
Stephane Legault (LW), 57 , 12 , 29 , 39 , 21 
Brett Cote (D), 72 , 8 , 33 , 35 , -5 
Miles Koules (C/RW), 69 , 19 , 21 , 18 , -14 
Ryon Moser (LW), 72 , 18 , 22 , 13 , 11 
Reid Petryk (C/RW), 70 , 16 , 24 , 61 , -7 
Manraj Singh Hayer (C), 61 , 15 , 25 , 40 , -7 
Riley Sheen (LW/D), 71 , 13 , 27 , 30 , -36 
Dylan Bredo (D/C), 72 , 11 , 29 , 28 , -22 
Tyson Ness (LW), 72 , 19 , 20 , 28 , -4 
Eric Roy (D), 72 , 17 , 22 , 37 , -32 
Trevor Cox (LW), 72 , 16 , 23 , 26 , -5 
Zach Pochiro (LW/C), 65 , 15 , 24 , 105 , -4 
Adam Kambeitz (C/LW), 72 , 14 , 25 , 83 , -22 
 Red Deer Rebels , 9 , 0 , 4 , 10 , -1 
 Saskatoon Blades , 33 , 9 , 12 , 39 , -4 
 Seattle Thunderbirds , 30 , 5 , 9 , 34 , -17 
Mitch Topping (D), 62 , 13 , 26 , 39 , -13 
Brooks Maxwell (RW/D), 71 , 10 , 29 , 24 , 8 
Joel Hamilton (C/LW), 70 , 9 , 30 , 45 , 1 
Travis Brown (D), 70 , 9 , 30 , 54 , -22 
Pavel Padakin (RW), 70 , 22 , 16 , 85 , 13 
Jamal Watson (LW/RW), 72 , 20 , 18 , 36 , 3 
Spencer Humphries (D), 70 , 5 , 33 , 86 , 30 
Davis Vandane (D), 66 , 12 , 25 , 34 , 5 
 Spokane Chiefs , 1 , 0 , 1 , 0 , 0 
 Prince Albert Raiders , 65 , 12 , 24 , 34 , 5 
Tyler Wotherspoon (D), 61 , 7 , 30 , 30 , 62 
Jagger Dirk (D), 72 , 3 , 34 , 87 , -6 
Levi Bews (RW), 60 , 21 , 15 , 57 , 16 
Kohl Bauml (C), 66 , 21 , 15 , 20 , -14 
Brian Williams (C), 66 , 20 , 16 , 43 , 0 
Chase Witala (LW/C), 57 , 15 , 21 , 25 , -22 
Tanner Eberle (LW/RW), 65 , 15 , 21 , 77 , -10 
Matt Bellerive (RW), 69 , 15 , 21 , 49 , -6 
Macoy Erkamps (D), 72 , 5 , 30 , 65 , -5 
Jake Virtanen (RW), 62 , 16 , 18 , 67 , 25 
Levi Cable (LW), 67 , 14 , 20 , 7 , 11 
Nick Buonassisi (C), 69 , 14 , 20 , 69 , -28 
Mitch Moroz (LW), 69 , 13 , 21 , 140 , 21 
Erik Benoit (C/LW), 64 , 12 , 22 , 19 , 3 
 Kootenay Ice , 33 , 8 , 10 , 15 , -3 
 Saskatoon Blades , 31 , 4 , 12 , 4 , 6 
Justin Hickman (RW), 70 , 12 , 22 , 115 , -23 
Daniel Johnston (D), 45 , 8 , 26 , 50 , 4 
Joey Leach (D/LW), 64 , 6 , 28 , 52 , 22 
Tyler Sandhu (C/RW), 62 , 19 , 14 , 12 , -13 
Matt Needham (C), 58 , 12 , 21 , 50 , 10 
Axel Blomqvist (LW/RW), 59 , 7 , 26 , 66 , 3 
Drydn Dow (D), 67 , 5 , 28 , 21 , 17 
Kyle Burroughs (D), 70 , 5 , 28 , 91 , -8 
Colten Mayor (LW), 71 , 14 , 18 , 99 , -16 
 Red Deer Rebels , 11 , 3 , 0 , 8 , 0 
 Regina Pats , 33 , 9 , 10 , 47 , -14 
 Calgary Hitmen , 27 , 2 , 8 , 44 , -2 
Ryan Harrison (C), 51 , 10 , 22 , 54 , 1 
Duncan Siemens (D), 70 , 3 , 29 , 109 , 31 
Keegan Lowe (D), 64 , 15 , 16 , 148 , 38 
Chase Souto (RW), 68 , 15 , 16 , 79 , 16 
Jayden Hart (C/RW), 51 , 14 , 17 , 52 , -25 
 Medicine Hat Tigers , 18 , 5 , 5 , 24 , -4 
 Prince Albert Raiders , 33 , 9 , 12 , 28 , -21 
Graham Hood (LW), 52 , 12 , 19 , 84 , 5 
Micheal Ferland (LW/RW), 30 , 9 , 22 , 22 , 24 
 Brandon Wheat Kings , 4 , 1 , 1 , 4 , -1 
 Saskatoon Blades , 26 , 8 , 21 , 18 , 25 
David Musil (D), 62 , 9 , 22 , 74 , 29 
 Vancouver Giants , 14 , 2 , 6 , 18 , 0 
 Edmonton Oil Kings , 48 , 7 , 16 , 56 , 29 
Mirco Müller (D), 63 , 6 , 25 , 57 , -10 
Dylan Willick (RW), 51 , 16 , 14 , 20 , 20 
Jay Merkley (C), 73 , 16 , 14 , 90 , 0 
 Lethbridge Hurricanes , 44 , 14 , 8 , 84 , 1 
 Swift Current Broncos , 29 , 2 , 6 , 6 , -1 
Rourke Chartier (C), 58 , 13 , 17 , 16 , 8 
Jesse Lees (D), 66 , 12 , 18 , 54 , 37 
Madison Bowey (D), 69 , 12 , 18 , 75 , 41 
Trent Ouellette (C), 56 , 11 , 19 , 75 , -11 
Beau McCue (RW), 54 , 17 , 12 , 16 , 14 
Chance Lund (LW), 67 , 16 , 13 , 44 , -5 
Connor Sanvido (RW/C), 72 , 15 , 14 , 40 , -7 
Chance Braid (LW), 67 , 9 , 20 , 66 , -4 
Griffin Reinhart (D), 59 , 8 , 21 , 35 , 30 
Jari Erricson (LW/C), 67 , 13 , 15 , 54 , -23 
Jacob Doty (C/RW), 72 , 11 , 17 , 90 , -9 
Dalton Sward (C/RW), 64 , 9 , 19 , 93 , -26 
Michal Plutnar (D), 69 , 7 , 21 , 65 , 8 
Richard Nedomlel (D), 72 , 7 , 21 , 105 , -13 
Ryan Pilon (D), 57 , 5 , 23 , 63 , 0 
Jaynen Rissling (D/LW), 61 , 5 , 23 , 122 , 35 
Carter Popoff (C), 63 , 15 , 12 , 26 , -14 
J.T. Barnett (LW), 42 , 14 , 13 , 37 , 9 
Tyrell Goulbourne (LW), 64 , 14 , 13 , 135 , 7 
Adam Helewka (LW), 60 , 10 , 17 , 12 , 5 
Lucas Nickles (LW), 70 , 10 , 17 , 55 , -17 
Dalton Thrower (D), 54 , 6 , 21 , 89 , 18 
Colton Heffley (C), 68 , 6 , 21 , 77 , 24 
Dillon Heatherington (D), 71 , 4 , 23 , 80 , 25 
Klarc Wilson (RW), 71 , 10 , 16 , 91 , -8 
 Edmonton Oil Kings , 40 , 5 , 11 , 55 , 2 
 Prince George Cougars , 31 , 5 , 5 , 36 , -10 
Nick Zajac (LW/C), 61 , 9 , 17 , 43 , 5 
Jesse Forsberg (D), 66 , 5 , 21 , 103 , -16 
Tyler Lewington (D), 69 , 2 , 24 , 131 , 14 
Chad Robinson (C/LW), 68 , 12 , 13 , 18 , -16 
 Red Deer Rebels , 9 , 1 , 1 , 0 , 1 
 Brandon Wheat Kings , 59 , 11 , 12 , 18 , -17 
Liam Stewart (C/LW), 71 , 11 , 14 , 22 , -14 
Joel Edmundson (D), 63 , 9 , 16 , 141 , -2 
 Moose Jaw Warriors , 29 , 2 , 6 , 70 , -11 
 Kamloops Blazers , 34 , 7 , 10 , 71 , 9 
Taylor Cooper (LW), 64 , 9 , 16 , 29 , -15 
Brady Gaudet (D), 65 , 5 , 20 , 59 , 11 
 Kamloops Blazers , 12 , 0 , 5 , 21 , 7 
 Red Deer Rebels , 53 , 5 , 15 , 38 , 4 
Lukas Sutter (C), 72 , 13 , 11 , 168 , -8 
Carson Perreaux (LW/C), 71 , 12 , 12 , 29 , 6 
Richard Nejezchleb (LW/RW), 35 , 11 , 13 , 34 , 24 
Sawyer Lange (D), 70 , 9 , 15 , 23 , 3 
Reid Duke (C), 57 , 8 , 16 , 30 , 8 
Marek Hrbas (D), 65 , 8 , 16 , 30 , 17 
Joe Hicketts (D), 67 , 6 , 18 , 45 , -11 
Paul Bittner (LW), 45 , 12 , 11 , 12 , 8 
Jens Meilleur (RW), 64 , 11 , 12 , 12 , -4 
Andrew Johnson (C), 72 , 11 , 12 , 60 , -29 
 Moose Jaw Warriors , 42 , 5 , 10 , 38 , -20 
 Seattle Thunderbirds , 30 , 6 , 2 , 22 , -9 
Brett Stovin (C/RW/D), 55 , 10 , 13 , 21 , 3 
Jason Swyripa (C), 62 , 10 , 13 , 45 , -14 
Collin Shirley (LW/C), 60 , 9 , 14 , 20 , -11 
Travis Ewanyk (C), 58 , 8 , 15 , 119 , 23 
Dallas Ehrhardt (D), 62 , 6 , 17 , 78 , -24 
Connor Chartier (RW), 64 , 6 , 17 , 16 , -5 
Sam Grist (D), 67 , 5 , 18 , 128 , 36 
 Tri-City Americans , 6 , 0 , 2 , 6 , 1 
 Kamloops Blazers , 61 , 5 , 16 , 122 , 35 
Marcus Messier (C), 62 , 11 , 11 , 23 , 0 
Jack Walker (LW), 58 , 9 , 13 , 21 , -6 
Marek Tvrdon (LW/RW), 18 , 8 , 14 , 16 , 2 
Jordan Fransoo (D), 67 , 8 , 14 , 80 , -21 
Shane Danyluk (C), 72 , 8 , 14 , 27 , -9 
Tyler Hansen (D), 64 , 3 , 19 , 62 , 19 
Cole Martin (D), 71 , 2 , 20 , 58 , 47 
Connor Cox (D), 66 , 1 , 21 , 32 , -16 
 Saskatoon Blades , 7 , 0 , 3 , 0 , 0 
 Everett Silvertips , 59 , 1 , 18 , 32 , -16 
Jonas Knutsen (C), 59 , 10 , 11 , 43 , 6 
Travis McEvoy (RW), 65 , 8 , 13 , 54 , -5 
 Saskatoon Blades , 13 , 0 , 4 , 13 , 0 
 Vancouver Giants , 52 , 8 , 9 , 41 , -5 
Chase Clayton (C), 60 , 5 , 16 , 46 , 4 
Austin Vetterl (RW), 66 , 5 , 16 , 34 , -17 
 Vancouver Giants , 7 , 0 , 2 , 4 , 0 
 Kootenay Ice , 59 , 5 , 14 , 30 , -17 
Kyle Becker (D), 57 , 4 , 17 , 28 , -11 
Tyler Morrison (D), 64 , 2 , 19 , 18 , -25 
Carter Rigby (LW), 34 , 12 , 8 , 62 , 18 
Braden Christoffer (LW/C), 69 , 11 , 9 , 91 , -18 
Wyatt Johnson (C), 56 , 10 , 10 , 44 , 3 
Carson Samoridny (RW), 60 , 10 , 10 , 48 , 6 
 Calgary Hitmen , 40 , 7 , 8 , 23 , 9 
 Regina Pats , 20 , 3 , 2 , 25 , -3 
Josh Derko (LW), 53 , 8 , 12 , 119 , -9 
 Swift Current Broncos , 31 , 3 , 8 , 68 , -4 
 Lethbridge Hurricanes , 22 , 5 , 4 , 51 , -5 
Reid Gardiner (RW), 54 , 7 , 13 , 28 , 13 
Kendall McFaull (D), 71 , 5 , 15 , 64 , -24 
Jerret Smith (D), 71 , 1 , 19 , 33 , -22 
Kenton Helgesen (LW), 70 , 0 , 20 , 116 , 22 
Charles Inglis (C), 32 , 11 , 8 , 49 , -10 
 Red Deer Rebels , 21 , 11 , 3 , 36 , -8 
 Kamloops Blazers , 11 , 0 , 5 , 13 , -2 
Cory Millette (LW), 47 , 10 , 9 , 22 , -6 
Presten Kopek (C), 64 , 10 , 9 , 22 , 15 
Alex Forsberg (LW/C), 31 , 9 , 10 , 15 , -18 
John Quenneville (C/W), 47 , 8 , 11 , 14 , -18 
Matt Revel (C), 61 , 7 , 12 , 18 , 6 
Tyler King (D), 53 , 6 , 13 , 20 , 10 
Caleb Belter (RW), 56 , 6 , 13 , 47 , -15 
MacKenzie Johnston (D), 49 , 5 , 14 , 28 , 29 
Haydn Fleury (D), 66 , 4 , 15 , 21 , 4 
Emil Sylvegård (LW/RW), 68 , 4 , 15 , 32 , -11 
Brycen Martin (D), 67 , 2 , 17 , 32 , 3 
Nick Walters (D), 64 , 1 , 18 , 106 , -4 
 Everett Silvertips , 35 , 1 , 9 , 70 , -19 
 Brandon Wheat Kings , 29 , 0 , 9 , 36 , 15 
Colby Williams (D), 59 , 0 , 19 , 70 , -17 
Conner Bleackley (C), 66 , 9 , 9 , 28 , -4 
Marc McCoy (C), 58 , 8 , 10 , 59 , -4 
 Red Deer Rebels , 28 , 1 , 5 , 31 , 1 
 Regina Pats , 30 , 7 , 5 , 28 , -5 
Adam de Champlain (C), 60 , 8 , 10 , 177 , 11 
Riley Kieser (C), 71 , 7 , 11 , 29 , -15 
Marek Kalus (LW/RW), 38 , 4 , 14 , 10 , -6 
 Spokane Chiefs , 11 , 0 , 4 , 4 , 2 
 Brandon Wheat Kings , 27 , 4 , 10 , 6 , -8 
Jesse Zgraggen (D), 64 , 4 , 14 , 66 , 8 
 Victoria Royals , 33 , 1 , 6 , 34 , 0 
 Calgary Hitmen , 31 , 3 , 8 , 32 , 8 
Colton Jobke (D), 31 , 3 , 15 , 58 , -9 
Dominik Volek (W/C), 32 , 9 , 8 , 14 , -4 
Daulton Siwak (C/RW), 38 , 9 , 8 , 5 , -18 
Henrik Nyberg (RW/LW), 54 , 8 , 9 , 37 , 11 
Craig Leverton (LW), 61 , 7 , 10 , 35 , -4 
Torrin White (RW), 43 , 6 , 11 , 18 , -15 
Edgars Kulda (LW), 64 , 6 , 11 , 34 , 4 
Anthony Ast (C/RW), 38 , 5 , 12 , 18 , -8 
Ty Mappin (C), 63 , 5 , 12 , 46 , -26 
Ryan Murray (D), 23 , 2 , 15 , 14 , 0 
Luke Fenske (D), 45 , 2 , 15 , 56 , 7 
Trent Lofthouse (RW/C), 43 , 12 , 4 , 19 , -1 
 Everett Silvertips , 34 , 9 , 3 , 19 , -2 
 Victoria Royals , 9 , 3 , 1 , 0 , 1 
Carter Proft (C/LW), 72 , 11 , 5 , 193 , -7 
Jordan Messier (RW), 62 , 10 , 6 , 39 , -12 
 Tri-City Americans , 6 , 1 , 2 , 2 , 3 
 Moose Jaw Warriors , 56 , 9 , 4 , 37 , -15 
Jonathon Martin (RW/C), 68 , 9 , 7 , 97 , -23 
Bryson Gore (C), 69 , 9 , 7 , 46 , -23 
Carter Hansen (D/RW), 69 , 7 , 9 , 23 , -17 
Jordan Tkatch (C), 61 , 6 , 10 , 18 , -2 
Remi Laurencelle (LW/C), 70 , 4 , 12 , 13 , -5 
Zach Hodder (D), 60 , 3 , 13 , 34 , -3 
 Prince Albert Raiders , 25 , 2 , 1 , 16 , 2 
 Medicine Hat Tigers , 35 , 1 , 12 , 18 , -5 
Ty Stanton (D), 44 , 2 , 14 , 29 , -6 
Landon Cross (D), 65 , 1 , 15 , 38 , 24 
Harrison Ruopp (D), 65 , 1 , 15 , 132 , 11 
Graeme Craig (D), 70 , 1 , 15 , 78 , 5 
 Swift Current Broncos , 11 , 0 , 1 , 13 , 2 
 Saskatoon Blades , 59 , 1 , 14 , 65 , 3 
Marc McNulty (D), 52 , 8 , 7 , 70 , -18 
Tristan Sieben (LW), 60 , 6 , 9 , 23 , -21 
Brandon Fushimi (RW), 61 , 6 , 9 , 16 , -4 
Jarrett Fontaine (LW/C), 68 , 6 , 9 , 17 , -12 
Kyle O'Connor (C/RW), 70 , 6 , 9 , 19 , -15 
Dan Gibb (D), 72 , 5 , 10 , 80 , -20 
Jason Fram (D), 60 , 1 , 14 , 20 , 2 
Adam Rossignol (C), 44 , 9 , 5 , 18 , -11 
Jordyn Boyd (LW), 65 , 8 , 6 , 21 , -20 
Jack Rodewald (RW), 56 , 7 , 7 , 40 , -19 
Adam Henry (D), 32 , 5 , 9 , 36 , -7 
Brandon Potomak (LW/D), 70 , 5 , 9 , 21 , -16 
Blake Orban (D), 67 , 4 , 10 , 120 , -4 
Jordan Thomson (D), 47 , 2 , 12 , 16 , 2 
Mason Geertsen (D), 73 , 2 , 12 , 130 , -28 
 Edmonton Oil Kings , 15 , 0 , 4 , 32 , -2 
 Vancouver Giants , 58 , 2 , 8 , 98 , -26 
Carson Stadnyk (RW/C), 70 , 8 , 5 , 27 , -33 
Tyler Wong (RW), 54 , 5 , 8 , 37 , 1 
Martin Gernát (D), 23 , 3 , 10 , 14 , 8 
Joel Topping (D), 63 , 1 , 12 , 35 , -7 
Cole Benson (C), 57 , 7 , 5 , 7 , -1 
Riley Whittingham (RW), 56 , 6 , 6 , 62 , -1 
Filip Vasko (LW/RW), 27 , 5 , 7 , 10 , 9 
 Kelowna Rockets , 19 , 3 , 7 , 6 , 7 
 Red Deer Rebels , 4 , 1 , 0 , 2 , 1 
 Regina Pats , 4 , 1 , 0 , 2 , 1 
Brendan Hurley (LW), 31 , 5 , 7 , 68 , -2 
Elliott Peterson (LW/D), 38 , 4 , 8 , 20 , 8 
Tyler Stahl (D), 41 , 4 , 8 , 87 , 6 
Adam Brooks (C), 55 , 4 , 8 , 13 , -10 
Jack Palmer (LW/C), 60 , 3 , 9 , 18 , -33 
Joey Kornelsen (C/RW), 60 , 3 , 9 , 39 , 2 
 Calgary Hitmen , 18 , 0 , 4 , 21 , 5 
 Kamloops Blazers , 42 , 3 , 5 , 18 , -3 
Tyler Yaworski (D), 63 , 3 , 9 , 147 , 5 
Wes Vannieuwenhuizen (D), 54 , 2 , 10 , 107 , -21 
Rene Hunter (D), 55 , 2 , 10 , 20 , -25 
Ashton Sautner (D), 62 , 2 , 10 , 28 , 22 
Evan Morden (D), 66 , 2 , 10 , 52 , -4 
Brett Roulston (LW), 57 , 8 , 3 , 27 , -2 
Ryan Hanes (LW), 43 , 7 , 4 , 55 , -31 
Brandon Baddock (LW), 59 , 7 , 4 , 73 , -2 
Zach McPhee (RW), 63 , 6 , 5 , 27 , -6 
 Everett Silvertips , 11 , 0 , 0 , 2 , -3 
 Kootenay Ice , 52 , 6 , 5 , 25 , -3 
Branden Troock (RW), 19 , 5 , 6 , 19 , -5 
Calder Brooks (LW/C), 23 , 5 , 6 , 12 , 2 
Chad Labelle (C), 62 , 5 , 6 , 39 , -11 
Chase Lang (C/RW), 44 , 4 , 7 , 10 , -2 
Stathis Soumelidis (C), 67 , 4 , 7 , 119 , -22 
Arvin Atwal (D), 30 , 3 , 8 , 50 , -1 
Logan Fisher (C), 67 , 3 , 8 , 29 , -8 
Riley Stadel (D), 49 , 2 , 9 , 21 , 14 
Tyson Dallman (C), 49 , 2 , 9 , 55 , -1 
Cole Sanford (RW/C), 53 , 2 , 9 , 17 , -11 
Devan Fafard (D), 67 , 1 , 10 , 98 , 11 
Josh Hanson (D), 72 , 1 , 10 , 22 , 32 
Jared Hauf (D), 72 , 0 , 11 , 80 , -18 
Keegan Iverson (RW/C), 47 , 6 , 4 , 69 , 4 
Jordan Wyton (LW), 35 , 5 , 5 , 54 , 1 
Tanner LeSann (C), 67 , 5 , 5 , 119 , -8 
Jakub Procházka (LW), 56 , 3 , 7 , 12 , -6 
Taylor Crunk (LW), 61 , 3 , 7 , 65 , -16 
Christian Stockl (RW), 62 , 3 , 7 , 23 , -5 
 Saskatoon Blades , 5 , 1 , 0 , 2 , 1 
 Red Deer Rebels , 57 , 2 , 7 , 21 , -6 
Cole Wedman (D), 68 , 3 , 7 , 36 , 1 
Peter Kosterman (D), 56 , 2 , 8 , 32 , 6 
Brandon Underwood (D), 69 , 2 , 8 , 99 , 7 
 Regina Pats , 2 , 0 , 0 , 2 , 2 
 Red Deer Rebels , 67 , 2 , 8 , 97 , 5 
Raymond Grewal (D), 63 , 1 , 9 , 25 , -43 
Spenser Jensen (D), 68 , 1 , 9 , 66 , -10 
Dalton Reum (D), 72 , 1 , 9 , 64 , -10 
Shayne Gwinner (D), 28 , 5 , 4 , 18 , 3 
 Prince Albert Raiders , 9 , 1 , 0 , 4 , -6 
 Saskatoon Blades , 19 , 4 , 4 , 14 , 9 
Shaun McPherson (D/LW), 32 , 4 , 5 , 19 , 14 
Justin Gutierrez (C), 48 , 4 , 5 , 35 , -5 
Taylor Vickerman (LW/C), 52 , 4 , 5 , 18 , -7 
Geordie Maguire (LW), 65 , 4 , 5 , 18 , -21 
Michael Sofillas (C), 52 , 3 , 6 , 31 , -2 
Dawson Leedahl (LW), 56 , 3 , 6 , 34 , -25 
Tanner Muth (D), 60 , 3 , 6 , 39 , -10 
Tyler Bell (D), 69 , 3 , 6 , 92 , -12 
 Kamloops Blazers , 29 , 1 , 3 , 36 , 1 
 Moose Jaw Warriors , 40 , 2 , 3 , 56 , -13 
Cole Linaker (C), 37 , 2 , 7 , 17 , 6 
Jackson Playfair (RW), 49 , 2 , 7 , 46 , -6 
Cole MacDonald (D), 60 , 2 , 7 , 23 , -19 
Ayrton Nikkel (D), 49 , 0 , 9 , 117 , -17 
 Brandon Wheat Kings , 42 , 0 , 9 , 87 , -13 
 Everett Silvertips , 7 , 0 , 0 , 30 , -4 
Tyrel Seaman (C), 24 , 3 , 5 , 17 , 3 
Austin Daae (LW), 30 , 3 , 5 , 4 , -3 
Thomas Foster (C), 52 , 3 , 5 , 8 , -17 
Dominic Turgeon (C), 54 , 3 , 5 , 2 , -2 
Tanner Faith (D), 55 , 2 , 6 , 35 , 1 
Mitch Wheaton (D), 39 , 1 , 7 , 27 , 20 
Joey Baker (RW), 64 , 1 , 7 , 84 , -6 
Lenny Hackman (D), 72 , 1 , 7 , 17 , 3 
Justin Hamonic (D), 72 , 1 , 7 , 38 , 9 
Joe Carvalho (D), 31 , 0 , 8 , 8 , 1 
Colby Harmsworth (D), 46 , 0 , 8 , 8 , 12 
Jordan DePape (RW), 19 , 5 , 2 , 10 , 1 
 Kamloops Blazers , 17 , 4 , 2 , 8 , 1 
 Red Deer Rebels , 2 , 1 , 0 , 2 , 0 
Brock Hirsche (C), 18 , 4 , 3 , 0 , 0 
Tim Traber (RW), 54 , 4 , 3 , 138 , -15 
Zac Mackay (C), 71 , 4 , 3 , 39 , -12 
Mikulas Rimmel (RW), 43 , 3 , 4 , 10 , -7 
Carson Bolduc (LW), 54 , 3 , 4 , 15 , -16 
Mitch Deacon (LW), 58 , 3 , 4 , 43 , -16 
Colton Waltz (D), 62 , 3 , 4 , 48 , -15 
Philip Tot (LW), 15 , 2 , 5 , 4 , 0 
Spencer Galbraith (RW/D), 20 , 2 , 5 , 40 , -3 
Aspen Sterzer (LW), 31 , 2 , 5 , 16 , -9 
Braiden Doucette (D), 63 , 2 , 5 , 29 , -25 
Taylor Green (D), 65 , 2 , 5 , 53 , -24 
Kyle Schmidt (D), 18 , 1 , 6 , 11 , 8 
Ryan Graham (LW), 37 , 1 , 6 , 8 , -4 
Darian Henry (D/F), 63 , 1 , 6 , 120 , -10 
 Calgary Hitmen , 30 , 1 , 4 , 77 , 1 
 Regina Pats , 33 , 0 , 2 , 43 , -11 
Derek Ryckman (D), 65 , 1 , 6 , 67 , 8 
Reid Zalitach (D), 42 , 0 , 7 , 14 , -13 
Keegan Kanzig (D), 70 , 0 , 7 , 159 , -10 
Ryley Miller (D), 38 , 3 , 3 , 99 , -22 
Jason Trott (C/LW), 27 , 2 , 4 , 64 , -14 
Chad Butcher (RW), 35 , 2 , 4 , 6 , 0 
Mitch Holmberg (RW), 72 , 62 , 56 , 25 , 35 
Nic Petan (W/C), 63 , 35 , 78 , 69 , 47 
Oliver Bjorkstrand (RW/LW), 69 , 50 , 59 , 36 , 44 
Leon Draisaitl (C/RW), 64 , 38 , 67 , 24 , 7 
Sam Reinhart (C/RW), 60 , 36 , 69 , 11 , 24 
