player_name,gp,g,a,pim,plus_minus
Kris Russell (D), 55 , 14 , 33 , 18 , 8 
Michael Funk (D), 70 , 11 , 36 , 88 , -8 
Chris Ray (C), 71 , 24 , 22 , 27 , 5 
Curtis Billsten (RW), 65 , 22 , 24 , 83 , 10 
 Lethbridge Hurricanes , 13 , 8 , 4 , 9 , 7 
 Kootenay Ice , 52 , 14 , 20 , 74 , 3 
Brandon Sutter (C), 68 , 22 , 24 , 36 , -7 
Marc Desloges (C), 72 , 20 , 26 , 28 , -27 
Brock Nixon (LW/C), 72 , 26 , 19 , 35 , 
Aaron Gagnon (C/RW), 62 , 24 , 21 , 40 , 8 
Spencer Machacek (RW), 70 , 23 , 22 , 53 , 14 
Juraj Gracik (LW), 53 , 22 , 23 , 36 , 1 
Justin Bernhardt (C), 61 , 22 , 23 , 75 , -5 
Steve DaSilva (RW), 68 , 21 , 24 , 62 , 11 
Kyle Pess (LW), 65 , 20 , 25 , 55 , 8 
 Lethbridge Hurricanes , 34 , 11 , 14 , 33 , 6 
 Seattle Thunderbirds , 31 , 9 , 11 , 22 , 2 
T.J. Mulock (RW), 59 , 16 , 29 , 37 , -2 
Logan Pyett (D), 71 , 10 , 35 , 89 , -14 
Daine Todd (D), 59 , 14 , 30 , 36 , 14 
David Schlemko (D), 69 , 9 , 35 , 44 , 17 
Reid Jorgensen (C), 55 , 24 , 19 , 61 , 
Fredrik Pettersson (RW), 59 , 22 , 21 , 47 , 15 
Teegan Moore (LW), 68 , 20 , 23 , 52 , 9 
Chris Stevens (LW), 72 , 19 , 24 , 91 , 14 
Tyler Dittmer (LW), 70 , 18 , 25 , 24 , 1 
Ladislav Scurko (C/LW), 64 , 17 , 26 , 41 , 6 
Michael Busto (D), 69 , 8 , 35 , 77 , 24 
Kyle Lamb (RW), 72 , 26 , 16 , 74 , 23 
Roman Tománek (RW), 54 , 17 , 25 , 35 , 6 
Kyle Deck (D), 62 , 4 , 38 , 96 , -1 
Justin McCrae (C), 71 , 17 , 24 , 58 , -9 
Kris Hogg (LW), 71 , 20 , 20 , 142 , -19 
Jordan Knackstedt (RW), 72 , 12 , 28 , 36 , -2 
Brett Carson (D), 72 , 11 , 29 , 62 , 13 
Jeff Schultz (D), 68 , 7 , 33 , 36 , 20 
Mark Olafson (RW), 60 , 18 , 21 , 86 , -25 
Daniel Rakos (C/LW), 70 , 16 , 23 , 85 , -14 
Matt Schneider (C), 58 , 25 , 13 , 46 , -8 
Gilbert Brulé (C/RW), 27 , 23 , 15 , 40 , 5 
Levi Nelson (C), 63 , 21 , 17 , 63 , -17 
Derek LeBlanc (C), 67 , 17 , 21 , 74 , 9 
 Brandon Wheat Kings , 37 , 11 , 12 , 38 , 4 
 Calgary Hitmen , 30 , 6 , 9 , 36 , 5 
Ray Macias (D/RW), 68 , 12 , 26 , 34 , 0 
Sami Sandell (LW/C), 54 , 11 , 27 , 38 , 4 
Jesse Zetariuk (D), 72 , 7 , 31 , 113 , 20 
Steven Gillen (C), 71 , 15 , 22 , 57 , -1 
Stanislav Balan (C), 67 , 14 , 23 , 102 , -12 
J.D. Watt (RW), 58 , 8 , 29 , 199 , 8 
Ty Wishart (D), 70 , 5 , 32 , 68 , 12 
A.J. Thelen (D), 72 , 13 , 23 , 79 , -30 
Ondrej Fiala (C), 51 , 21 , 14 , 26 , 4 
Aki Seitsonen (C), 66 , 20 , 15 , 22 , -14 
Bud Holloway (RW), 72 , 21 , 13 , 18 , 8 
Drayson Bowman (W/C), 72 , 17 , 17 , 51 , -10 
Chris Durand (C), 71 , 14 , 20 , 105 , -3 
Ian Duval (C), 64 , 11 , 23 , 25 , -3 
Kyle Fecho (D), 65 , 4 , 30 , 61 , 26 
 Seattle Thunderbirds , 2 , 0 , 0 , 2 , 0 
 Moose Jaw Warriors , 63 , 4 , 30 , 59 , 26 
Keegan Dansereau (RW), 60 , 16 , 17 , 31 , 18 
Lauris Darzins (LW), 47 , 13 , 20 , 26 , 6 
Brady Calla (RW/D), 66 , 8 , 25 , 52 , 7 
Craig Schira (D), 71 , 5 , 28 , 72 , -3 
Chad Greenan (D), 66 , 4 , 29 , 68 , 23 
Myles Zimmer (F), 69 , 20 , 12 , 180 , -11 
Cam Cunning (LW), 40 , 19 , 13 , 52 , 7 
Jeremy Schenderling (C), 59 , 19 , 13 , 74 , -2 
Riley Merkley (C), 59 , 12 , 20 , 54 , 9 
Brent Howarth (LW), 68 , 12 , 19 , 116 , 4 
Michael Sauer (D), 59 , 8 , 23 , 68 , -1 
Tomas Kudelka (D), 64 , 6 , 25 , 77 , -2 
Roman Teslyuk (D), 72 , 14 , 16 , 109 , 9 
Luke Hunter (C), 64 , 13 , 17 , 58 , -27 
Brennen Wray (C), 70 , 12 , 18 , 91 , -2 
Evan Haw (D), 65 , 10 , 20 , 117 , 0 
 Saskatoon Blades , 38 , 9 , 12 , 72 , 7 
 Spokane Chiefs , 27 , 1 , 8 , 45 , -7 
Devin Featherstone (D), 72 , 7 , 23 , 135 , -6 
Kyle Cumiskey (D), 51 , 6 , 24 , 52 , 15 
Jeff May (D), 72 , 2 , 28 , 104 , -26 
Ryan Gibbons (RW), 64 , 20 , 9 , 110 , -6 
Moises Gutierrez (RW), 66 , 15 , 14 , 119 , 
Mark Fistric (D), 60 , 7 , 22 , 148 , 30 
Daryl Boyle (D), 72 , 7 , 22 , 51 , 10 
Marek Curilla (C), 62 , 6 , 23 , 40 , -4 
 Kootenay Ice , 41 , 3 , 14 , 25 , -6 
 Medicine Hat Tigers , 21 , 3 , 9 , 15 , 2 
Joe Logan (D), 65 , 6 , 23 , 75 , 1 
 Spokane Chiefs , 39 , 5 , 14 , 49 , 1 
 Saskatoon Blades , 26 , 1 , 9 , 26 , 0 
Igor Bacek (LW), 64 , 5 , 24 , 64 , -10 
Dustin Kohn (D), 69 , 4 , 25 , 50 , 13 
 Calgary Hitmen , 38 , 2 , 12 , 20 , 5 
 Brandon Wheat Kings , 31 , 2 , 13 , 30 , 8 
Ryan Reaves (RW), 68 , 14 , 14 , 91 , -3 
Clayton Bauer (C), 69 , 14 , 14 , 123 , 6 
Brad Erickson (C), 75 , 13 , 15 , 52 , -13 
 Prince Albert Raiders , 40 , 7 , 8 , 29 , -8 
 Spokane Chiefs , 35 , 6 , 7 , 23 , -5 
Sasha Golin (LW), 68 , 10 , 18 , 74 , -1 
David Schulz (D), 61 , 5 , 23 , 95 , 3 
 Spokane Chiefs , 33 , 2 , 10 , 55 , 1 
 Saskatoon Blades , 28 , 3 , 13 , 40 , 2 
Thomas Hickey (D), 69 , 1 , 27 , 53 , 2 
Johannes Salmonsson (LW/RW), 54 , 12 , 15 , 30 , -10 
Michal Psurny (RW), 56 , 6 , 21 , 22 , 6 
 Medicine Hat Tigers , 30 , 6 , 13 , 10 , 0 
 Kootenay Ice , 26 , 0 , 8 , 12 , 6 
Victor Bartley (D), 65 , 3 , 24 , 114 , 1 
Chris Bruton (C/RW), 66 , 12 , 14 , 111 , -11 
Troy Ofukany (C), 68 , 12 , 14 , 112 , 12 
Brett Novak (RW), 55 , 10 , 16 , 45 , -16 
Tyler Johnson (C), 66 , 10 , 16 , 56 , -1 
Steve Covington (RW), 72 , 10 , 16 , 47 , 3 
Alex Aldred (C), 60 , 8 , 18 , 22 , -10 
Jason Reese (C), 47 , 7 , 19 , 23 , 7 
Scott Jackson (D), 57 , 3 , 23 , 48 , 4 
Josh Aspenlind (RW), 69 , 13 , 12 , 133 , -16 
Michael Kaye (RW), 52 , 12 , 13 , 77 , -9 
Ted Vandermeer (LW), 53 , 11 , 14 , 36 , -14 
Andrew Bailey (RW), 72 , 10 , 15 , 40 , 11 
Kalvin Sagert (D), 71 , 7 , 18 , 88 , 6 
 Lethbridge Hurricanes , 26 , 4 , 0 , 23 , -1 
 Prince George Cougars , 45 , 3 , 18 , 65 , 7 
Riley Day (D), 61 , 6 , 19 , 191 , 9 
Paul Kurceba (D), 67 , 5 , 20 , 132 , 6 
 Red Deer Rebels , 15 , 1 , 4 , 40 , -3 
 Kootenay Ice , 52 , 4 , 16 , 92 , 9 
Matthew Hansen (D), 49 , 2 , 23 , 28 , 15 
 Red Deer Rebels , 26 , 0 , 7 , 16 , -5 
 Moose Jaw Warriors , 23 , 2 , 16 , 12 , 20 
Corey Courchene (LW), 56 , 11 , 13 , 150 , -8 
Ken Petkau (RW), 64 , 10 , 14 , 31 , -18 
 Lethbridge Hurricanes , 26 , 7 , 5 , 8 , -4 
 Red Deer Rebels , 38 , 3 , 9 , 23 , -14 
Jordan Fuder (C), 69 , 10 , 14 , 124 , -2 
Jerrid Sauer (RW), 73 , 9 , 15 , 25 , 17 
 Swift Current Broncos , 13 , 0 , 1 , 2 , -4 
 Medicine Hat Tigers , 60 , 9 , 14 , 23 , 21 
Tyler Spurgeon (C), 39 , 7 , 17 , 22 , 3 
Jonathon Blum (D), 61 , 7 , 17 , 25 , 16 
Bryan Kauk (RW), 65 , 6 , 18 , 22 , 1 
 Kamloops Blazers , 2 , 0 , 0 , 0 , 
 Brandon Wheat Kings , 63 , 6 , 18 , 22 , 1 
Karl Alzner (D), 70 , 4 , 20 , 28 , 14 
Gord Baldwin (D), 71 , 4 , 20 , 119 , 9 
Tommy Maxwell (RW), 60 , 15 , 8 , 147 , 7 
Matthew Cline (C), 71 , 12 , 11 , 70 , -21 
Taylor Procyshen (RW), 68 , 11 , 12 , 27 , -7 
Andrew Clark (C), 61 , 9 , 14 , 37 , 0 
Andre Herman (LW), 72 , 8 , 15 , 23 , 8 
Nick Ross (D), 62 , 7 , 16 , 38 , -3 
Jordan Henry (D), 69 , 3 , 20 , 155 , 23 
 Moose Jaw Warriors , 40 , 1 , 12 , 104 , 20 
 Red Deer Rebels , 29 , 2 , 8 , 51 , 3 
Karel Hromas (LW), 52 , 11 , 11 , 14 , -11 
John Wikner (LW), 60 , 9 , 13 , 32 , -13 
Keith Voytechek (LW), 60 , 9 , 13 , 58 , 1 
 Vancouver Giants , 20 , 3 , 6 , 25 , 6 
 Tri-City Americans , 40 , 6 , 7 , 33 , -5 
Kirt Hill (C), 68 , 9 , 13 , 78 , 15 
Greg Scott (C), 69 , 8 , 14 , 37 , -3 
Brett Sonne (C/LW), 64 , 12 , 9 , 38 , 6 
Blair Macaulay (RW), 67 , 9 , 12 , 49 , -10 
Mario Bliznak (C), 69 , 9 , 12 , 29 , 6 
Sean Zimmerman (D), 72 , 2 , 19 , 44 , 3 
