EP_href,EP_id,first,last,league,position,season,gp,g,a,plus_minus
https://www.eliteprospects.com/player/37619/brett-mackie,37619,brett,mackie,ohl,LW,2011-2012,66,10,20,15.0
https://www.eliteprospects.com/player/30930/taylor-carnevale,30930,taylor,carnevale,ohl,C,2011-2012,32,7,23,-6.0
https://www.eliteprospects.com/player/33650/austin-levi,33650,austin,levi,ohl,D,2011-2012,64,5,25,20.0
https://www.eliteprospects.com/player/75944/mike-moffat,75944,mike,moffat,ohl,D,2011-2012,65,5,25,-44.0
https://www.eliteprospects.com/player/49042/aaron-ekblad,49042,aaron,ekblad,ohl,D,2011-2012,63,10,19,-5.0
https://www.eliteprospects.com/player/17637/tom-kuhnhackl,17637,tom,kuhnhackl,ohl,RW/LW,2011-2012,34,8,21,14.0
https://www.eliteprospects.com/player/45551/trevor-morbeck,45551,trevor,morbeck,ohl,RW/D,2011-2012,57,8,21,-4.0
https://www.eliteprospects.com/player/47261/michael-kantor,47261,michael,kantor,ohl,RW,2011-2012,60,8,21,10.0
https://www.eliteprospects.com/player/97938/warren-steele,97938,warren,steele,ohl,D,2011-2012,68,7,22,-18.0
https://www.eliteprospects.com/player/37581/mitchell-porowski,37581,mitchell,porowski,ohl,LW,2011-2012,65,17,11,-1.0
https://www.eliteprospects.com/player/61228/colin-miller,61228,colin,miller,ohl,D,2011-2012,54,8,20,9.0
https://www.eliteprospects.com/player/33882/marc-zanetti,33882,marc,zanetti,ohl,D,2011-2012,54,7,21,27.0
https://www.eliteprospects.com/player/76441/kyler-nixon,76441,kyler,nixon,ohl,D,2011-2012,66,7,21,-24.0
https://www.eliteprospects.com/player/45600/joseph-cramarossa,45600,joseph,cramarossa,ohl,C/LW,2011-2012,44,14,13,-12.0
https://www.eliteprospects.com/player/98663/tom-wilson,98663,tom,wilson,ohl,RW,2011-2012,49,9,18,17.0
https://www.eliteprospects.com/player/45582/tyler-graovac,45582,tyler,graovac,ohl,C,2011-2012,50,8,19,6.0
https://www.eliteprospects.com/player/106161/nicholas-baptiste,106161,nicholas,baptiste,ohl,RW,2011-2012,64,8,19,-7.0
https://www.eliteprospects.com/player/131756/sergei-kuptsov,131756,sergei,kuptsov,ohl,RW,2011-2012,65,13,13,-7.0
https://www.eliteprospects.com/player/45417/connor-murphy,45417,connor,murphy,ohl,D,2011-2012,35,8,18,-3.0
https://www.eliteprospects.com/player/45403/brady-austin,45403,brady,austin,ohl,D,2011-2012,68,6,20,-1.0
https://www.eliteprospects.com/player/39653/scott-harrington,39653,scott,harrington,ohl,D,2011-2012,44,3,23,26.0
https://www.eliteprospects.com/player/45547/frank-corrado,45547,frank,corrado,ohl,D,2011-2012,60,3,23,26.0
https://www.eliteprospects.com/player/37973/charlie-dodero,37973,charlie,dodero,ohl,D,2011-2012,66,2,24,17.0
https://www.eliteprospects.com/player/30923/dalton-smith,30923,dalton,smith,ohl,LW,2011-2012,53,15,10,-10.0
https://www.eliteprospects.com/player/61904/ryan-horvat,61904,ryan,horvat,ohl,LW,2011-2012,55,7,18,1.0
https://www.eliteprospects.com/player/32741/keevin-cutting,32741,keevin,cutting,ohl,D,2011-2012,68,7,18,20.0
https://www.eliteprospects.com/player/45602/stuart-percy,45602,stuart,percy,ohl,D,2011-2012,34,5,20,18.0
https://www.eliteprospects.com/player/143834/brandon-robinson,143834,brandon,robinson,ohl,LW,2011-2012,57,15,9,-1.0
https://www.eliteprospects.com/player/83992/brody-silk,83992,brody,silk,ohl,C,2011-2012,39,13,11,4.0
https://www.eliteprospects.com/player/78301/sam-schutt,78301,sam,schutt,ohl,LW,2011-2012,59,7,17,-1.0
https://www.eliteprospects.com/player/34827/dario-trutmann,34827,dario,trutmann,ohl,D,2011-2012,62,6,18,10.0
https://www.eliteprospects.com/player/92684/jarrod-maidens,92684,jarrod,maidens,ohl,C,2011-2012,28,12,11,-2.0
https://www.eliteprospects.com/player/141894/jake-evans,141894,jake,evans,ohl,C,2011-2012,67,12,11,-27.0
https://www.eliteprospects.com/player/45400/matt-macleod,45400,matt,macleod,ohl,RW,2011-2012,56,9,14,1.0
https://www.eliteprospects.com/player/75207/patrick-watling,75207,patrick,watling,ohl,C,2011-2012,67,6,17,-1.0
https://www.eliteprospects.com/player/89818/tony-deangelo,89818,tony,deangelo,ohl,D,2011-2012,68,6,17,-7.0
https://www.eliteprospects.com/player/33653/brad-walch,33653,brad,walch,ohl,D,2011-2012,68,5,18,21.0
