,_id,ep_id,season,team,league,games_played,goals,assists,penalty_min,plus_minus
8623,5e0a71a7b796e999afd8fc93,131179,2014-15,Red Deer Rebels,WHL,9,0,2,7,-2
8624,5e0a71a7b796e999afd8fc95,131179,,Saskatoon Blades,WHL,33,7,8,16,-9
8625,5e0a71a7b796e999afd8fc97,131179,2015-16,Saskatoon Blades,WHL,64,18,10,50,-21
8626,5e0a71a7b796e999afd8fc99,131179,2016-17,Saskatoon Blades,WHL,45,21,16,68,-8
8627,5e0a71a7b796e999afd8fc9b,131179,2017-18,"Red Deer Rebels 
“A”",WHL,69,38,36,82,8
8628,5e0a71a7b796e999afd8fc9d,131179,2018-19,Rapid City Rush,ECHL,15,6,4,18,4
8629,5e0a71a7b796e999afd8fc9f,131179,2019-20,Acadia Univ.,USports,15,8,8,24,2
8630,5e0a71a9b796e999afd8fca2,62228,2009-10,CBHA Blackhawks Bantam AA,HCBAA,-,-,-,-,
8631,5e0a71a9b796e999afd8fca4,62228,,Calgary Bisons Bantam AAA,AMBHL,1,0,0,0,
8632,5e0a71a9b796e999afd8fca6,62228,2010-11,Calgary Bisons Bantam AAA,AMBHL,33,22,29,34,
8633,5e0a71a9b796e999afd8fca8,62228,,CBHA Blackhawks Minor Midget AAA,AMMHL,3,3,1,4,
8634,5e0a71a9b796e999afd8fcaa,62228,2011-12,Notre Dame Hounds Midget AA SS,SSMHL,21,20,15,34,
8635,5e0a71a9b796e999afd8fcac,62228,,Notre Dame Hounds Midget AAA,SMHL,18,7,5,14,
8636,5e0a71a9b796e999afd8fcae,62228,2012-13,Calgary Buffaloes Midget AAA,AMHL,34,12,14,78,
8637,5e0a71a9b796e999afd8fcb0,62228,,Brooks Bandits,AJHL,3,0,0,0,
8638,5e0a71a9b796e999afd8fcb2,62228,2013-14,Calgary Canucks,AJHL,20,9,8,21,
8639,5e0a71a9b796e999afd8fcb4,62228,,Victoria Royals,WHL,18,1,0,4,-6
