,_id,ep_id,playoffs_gp,playoffs_g,playoffs_a,playoffs_pim,playoffs_pm
0,5e0a6b5bb796e999afd8b376,201106,,,,,
1,5e0a6b5bb796e999afd8b378,201106,,,,,
2,5e0a6b5bb796e999afd8b37a,201106,,,,,
3,5e0a6b5bb796e999afd8b37c,201106,5,1,3,4,
4,5e0a6b5bb796e999afd8b37e,201106,,,,,
5,5e0a6b5bb796e999afd8b380,201106,,,,,
6,5e0a6b5bb796e999afd8b382,201106,13,2,4,6,
7,5e0a6b5bb796e999afd8b384,201106,,,,,
8,5e0a6b5bb796e999afd8b386,201106,4,0,0,0,0
9,5e0a6b5bb796e999afd8b388,201106,11,2,4,18,-3
10,5e0a6b5bb796e999afd8b38a,201106,,,,,
11,5e0a6b5bb796e999afd8b38c,201106,,,,,
12,5e0a6b5bb796e999afd8b38e,201106,,,,,
13,5e0a6b5bb796e999afd8b390,201106,,,,,
14,5e0a6b5bb796e999afd8b392,201106,,,,,
15,5e0a6b5db796e999afd8b395,88699,,,,,
16,5e0a6b5db796e999afd8b397,88699,9,2,5,8,
17,5e0a6b5db796e999afd8b399,88699,13,1,8,4,
18,5e0a6b5db796e999afd8b39b,88699,8,0,1,2,-1
19,5e0a6b5db796e999afd8b39d,88699,8,1,0,14,-6
20,5e0a6b5db796e999afd8b39f,88699,18,0,3,26,2
21,5e0a6b5db796e999afd8b3a1,88699,9,1,1,10,0
22,5e0a6b5db796e999afd8b3a3,88699,21,4,1,19,3
23,5e0a6b5db796e999afd8b3a5,88699,,,,,
24,5e0a6b5db796e999afd8b3a7,88699,12,1,3,17,-4
25,5e0a6b5db796e999afd8b3a9,88699,,,,,
26,5e0a6b5db796e999afd8b3ab,88699,,,,,
27,5e0a6b5db796e999afd8b3ad,88699,8,0,0,20,-6
28,5e0a6b5db796e999afd8b3af,88699,,,,,
29,5e0a6b5db796e999afd8b3b1,88699,,,,,
30,5e0a6b60b796e999afd8b3b4,17925,,,,,
31,5e0a6b60b796e999afd8b3b6,17925,,,,,
32,5e0a6b60b796e999afd8b3b8,17925,6,0,0,2,0
33,5e0a6b60b796e999afd8b3ba,17925,,,,,
34,5e0a6b60b796e999afd8b3bc,17925,,,,,
35,5e0a6b60b796e999afd8b3be,17925,,,,,
36,5e0a6b60b796e999afd8b3c0,17925,,,,,
37,5e0a6b60b796e999afd8b3c2,17925,,,,,
38,5e0a6b60b796e999afd8b3c4,17925,9,0,3,14,
39,5e0a6b60b796e999afd8b3c6,17925,,,,,
40,5e0a6b60b796e999afd8b3c8,17925,6,1,1,6,
41,5e0a6b60b796e999afd8b3ca,17925,,,,,
42,5e0a6b60b796e999afd8b3cc,17925,,,,,
43,5e0a6b60b796e999afd8b3ce,17925,,,,,
44,5e0a6b62b796e999afd8b3d1,24322,,,,,
45,5e0a6b62b796e999afd8b3d3,24322,,,,,
46,5e0a6b62b796e999afd8b3d5,24322,,,,,
47,5e0a6b62b796e999afd8b3d7,24322,,,,,
48,5e0a6b62b796e999afd8b3d9,24322,17,0,5,28,5
49,5e0a6b62b796e999afd8b3db,24322,21,2,6,10,6
50,5e0a6b62b796e999afd8b3dd,24322,,,,,
51,5e0a6b62b796e999afd8b3df,24322,,,,,
52,5e0a6b62b796e999afd8b3e1,24322,2,1,0,0,-4
53,5e0a6b62b796e999afd8b3e3,24322,,,,,
54,5e0a6b62b796e999afd8b3e5,24322,,,,,
55,5e0a6b62b796e999afd8b3e7,24322,,,,,
56,5e0a6b62b796e999afd8b3e9,24322,,,,,
57,5e0a6b62b796e999afd8b3eb,24322,,,,,
58,5e0a6b62b796e999afd8b3ed,24322,,,,,
59,5e0a6b62b796e999afd8b3ef,24322,,,,,
60,5e0a6b62b796e999afd8b3f1,24322,,,,,
61,5e0a6b64b796e999afd8b3f7,24007,,,,,
62,5e0a6b64b796e999afd8b3f9,24007,,,,,
63,5e0a6b64b796e999afd8b3fb,24007,,,,,
64,5e0a6b64b796e999afd8b3fd,24007,,,,,
65,5e0a6b64b796e999afd8b3ff,24007,,,,,
66,5e0a6b64b796e999afd8b401,24007,,,,,
67,5e0a6b64b796e999afd8b403,24007,,,,,
68,5e0a6b64b796e999afd8b405,24007,,,,,
69,5e0a6b64b796e999afd8b407,24007,,,,,
70,5e0a6b64b796e999afd8b409,24007,,,,,
71,5e0a6b64b796e999afd8b40b,24007,,,,,
72,5e0a6b64b796e999afd8b40d,24007,,,,,
73,5e0a6b64b796e999afd8b40f,24007,,,,,
74,5e0a6b64b796e999afd8b411,24007,,,,,
75,5e0a6b64b796e999afd8b413,24007,,,,,
76,5e0a6b66b796e999afd8b416,101633,,,,,
77,5e0a6b66b796e999afd8b418,101633,,,,,
78,5e0a6b66b796e999afd8b41a,101633,,,,,
79,5e0a6b66b796e999afd8b41c,101633,1,0,0,0,
80,5e0a6b66b796e999afd8b41e,101633,4,0,0,0,0
81,5e0a6b66b796e999afd8b420,101633,4,0,0,0,-3
82,5e0a6b66b796e999afd8b422,101633,,,,,
83,5e0a6b66b796e999afd8b424,101633,,,,,
84,5e0a6b66b796e999afd8b426,101633,,,,,
85,5e0a6b66b796e999afd8b428,101633,3,0,1,2,
86,5e0a6b66b796e999afd8b42a,101633,2,0,1,0,
87,5e0a6b66b796e999afd8b42c,101633,,,,,
88,5e0a6b66b796e999afd8b42e,101633,,,,,
89,5e0a6b68b796e999afd8b432,32763,,,,,
90,5e0a6b68b796e999afd8b434,32763,3,6,8,27,
91,5e0a6b68b796e999afd8b436,32763,1,0,0,2,
92,5e0a6b68b796e999afd8b438,32763,8,0,0,0,3
93,5e0a6b68b796e999afd8b43a,32763,7,0,0,4,2
94,5e0a6b68b796e999afd8b43c,32763,17,1,10,2,10
95,5e0a6b68b796e999afd8b43e,32763,1,0,1,0,0
96,5e0a6b68b796e999afd8b440,32763,9,2,5,6,-3
97,5e0a6b68b796e999afd8b442,32763,21,2,5,2,0
98,5e0a6b68b796e999afd8b444,32763,,,,,
99,5e0a6b68b796e999afd8b446,32763,,,,,
100,5e0a6b68b796e999afd8b448,32763,,,,,
101,5e0a6b68b796e999afd8b44a,32763,8,0,3,0,0
102,5e0a6b6bb796e999afd8b44d,247936,,,,,
103,5e0a6b6bb796e999afd8b44f,247936,,,,,
104,5e0a6b6bb796e999afd8b451,247936,5,1,1,2,
105,5e0a6b6bb796e999afd8b453,247936,,,,,
106,5e0a6b6bb796e999afd8b455,247936,5,2,1,2,
107,5e0a6b6bb796e999afd8b457,247936,9,0,2,18,3
108,5e0a6b6bb796e999afd8b459,247936,,,,,
109,5e0a6b6bb796e999afd8b45b,247936,6,0,3,4,2
110,5e0a6b6bb796e999afd8b45d,247936,,,,,
111,5e0a6b6bb796e999afd8b45f,247936,,,,,
112,5e0a6b6bb796e999afd8b461,247936,,,,,
113,5e0a6b6db796e999afd8b464,78435,,,,,
114,5e0a6b6db796e999afd8b466,78435,4,0,2,0,1
115,5e0a6b6db796e999afd8b468,78435,,,,,
116,5e0a6b6db796e999afd8b46a,78435,13,0,2,10,-3
117,5e0a6b6db796e999afd8b46c,78435,15,1,6,4,4
118,5e0a6b6db796e999afd8b46e,78435,12,0,0,8,-2
119,5e0a6b6db796e999afd8b470,78435,,,,,
120,5e0a6b6fb796e999afd8b473,62238,,,,,
121,5e0a6b6fb796e999afd8b475,62238,,,,,
122,5e0a6b6fb796e999afd8b477,62238,4,1,1,2,
123,5e0a6b6fb796e999afd8b479,62238,,,,,
124,5e0a6b6fb796e999afd8b47b,62238,,,,,
125,5e0a6b6fb796e999afd8b47d,62238,,,,,
126,5e0a6b6fb796e999afd8b47f,62238,,,,,
127,5e0a6b6fb796e999afd8b481,62238,,,,,
128,5e0a6b6fb796e999afd8b483,62238,,,,,
129,5e0a6b6fb796e999afd8b485,62238,5,1,3,0,
130,5e0a6b6fb796e999afd8b487,62238,4,3,3,4,
131,5e0a6b6fb796e999afd8b489,62238,5,1,3,2,
132,5e0a6b6fb796e999afd8b48b,62238,,,,,
133,5e0a6b71b796e999afd8b48e,11108,,,,,
